,acc,loss,val_acc,val_loss
0,0.9892572698647898,0.03559145984235736,0.9930516953863258,0.035340255108415916
1,0.9909242452305983,0.03326247222192867,0.99082823790995,0.03745380140118313
2,0.9923133913466922,0.030031534830985616,0.9936075597554197,0.03210462216265073
3,0.9922207816262271,0.028599046614896668,0.9936075597554197,0.03101203097377372
4,0.9912946842007779,0.031199841711109195,0.9944413563090606,0.029391848744692257
5,0.9930542693091313,0.02726942057383046,0.9922178988326849,0.034449919594530476
6,0.9924986108538618,0.028170417582332966,0.9944413562096643,0.028756862815330762
7,0.9940729764771254,0.024407142248075574,0.9941634241245136,0.030722052384226928
8,0.993424708279311,0.02546914611087643,0.9927737632017788,0.03463290216222099
9,0.9939803667345805,0.024049231172555682,0.9936075597554197,0.029034523997433056
10,0.993609927731281,0.024486564239857924,0.9947192884936076,0.02712464608664129
